id,date,ticker,entry_price,exit_price,sl_price,tp1,tp2,status,fees,net_profit,forecast_type,forecast_score,trend_rating,earnings_day,executed_on_nordnet,created_at
90,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:59:10
93,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 16:56:41
96,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 16:56:44
99,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 19:14:46
102,2025-08-08,AAPL,221.46,NULL,219.25,223.67,225.88,TP1,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 19:14:55
3,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 12:51:41
6,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 12:52:29
9,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 12:53:13
12,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:27:00
15,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:53:54
18,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:54:06
21,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:54:31
24,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:56:31
27,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:56:34
30,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:56:40
33,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:59:42
36,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:01:54
39,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:07:51
42,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:09:39
45,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:12:06
48,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:12:10
51,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:15:09
54,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:18:25
58,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:22:27
61,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:24:11
64,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:28:28
67,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:29:20
70,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:32:21
73,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:32:24
76,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:44:40
79,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:44:42
82,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:46:59
85,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:52:56
88,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:56:32
91,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 14:59:10
94,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 16:56:41
97,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 16:56:44
100,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 19:14:46
103,2025-08-08,NVDA,182.37,NULL,180.40,184.34,186.30,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 19:14:55
1,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 12:51:41
4,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 12:52:29
7,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 12:53:13
10,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:27:00
13,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:53:53
16,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:54:06
19,2025-08-08,TSLA,329.68,NULL,320.98,338.38,347.08,open,NULL,NULL,NULL,NULL,NULL,0,0,2025-08-11 13:54:31
